ticket_id,created_at,first_response_hours,resolved_at,category,subcategory,priority,channel,team,agent,customer_tier,status,csat_score,reopened,sla_breached
TK00014,2025/1/13,4.3,2025/1/13 19:48,Product,Feature question,Low,Phone,Tier 2,C. Lee,Enterprise,Resolved,4.9,FALSE,FALSE
TK00015,2025/1/14,2.6,2025/1/14 22:42,Billing,Payment failure,Medium,Email,Tier 1,I. Ahmed,Pro,Resolved,4.2,FALSE,FALSE
TK00016,2025/1/14,4.6,2025/1/14 9:36,Product,Feature question,Medium,Chat,Customer Success,G. Lopez,Enterprise,Resolved,5,FALSE,FALSE
TK00017,2025/1/16,3.6,2025/1/16 17:42,Billing,Chargeback,Medium,Chat,Billing,B. Wilson,Free,Resolved,3.6,FALSE,FALSE
TK00018,2025/1/16,14.5,,Billing,Invoice issue,Low,Email,Tier 1,H. Clark,Business,Escalated,,FALSE,FALSE
TK00019,2025/1/18,7.4,2025/1/18 15:24,Billing,Invoice issue,Low,Phone,Billing,N. Adams,Pro,Resolved,4.2,FALSE,FALSE
TK00020,2025/1/18,3,,Account,Profile update,Medium,Phone,Tier 2,G. Lopez,Business,Escalated,,FALSE,FALSE
TK00021,2025/1/19,6.4,2025/1/22 12:12,Billing,Invoice issue,High,Chat,Tier 2,B. Wilson,Pro,Resolved,4.3,FALSE,TRUE
TK00022,2025/1/19,10.8,2025/1/19 22:24,Technical,Login problem,Low,Portal,Tier 2,F. Moore,Business,Resolved,5,FALSE,FALSE
TK00023,2025/1/20,6.3,2025/1/21 12:54,Technical,API error,Medium,Email,Tier 1,D. Evans,Pro,Resolved,4.9,FALSE,FALSE
TK00024,2025/1/21,1.7,,Product,Feature question,High,Phone,Tier 1,F. Moore,Free,Pending Customer,,FALSE,FALSE
TK00025,2025/1/22,4.6,,Product,Missing functionality,Medium,Chat,Customer Success,F. Moore,Pro,Pending Customer,,FALSE,FALSE
TK00026,2025/1/23,12.9,2025/1/23 21:00,Account,Profile update,Low,Chat,Tier 1,I. Ahmed,Free,Resolved,4.4,FALSE,FALSE
TK00027,2025/1/24,3.4,,Technical,Bug report,Medium,Chat,Technical Escalations,D. Evans,Free,Pending Customer,,FALSE,FALSE
TK00028,2025/1/25,15,2025/1/25 17:18,Billing,Refund request,Low,Phone,Billing,B. Wilson,Enterprise,Resolved,5,FALSE,FALSE
TK00029,2025/1/25,4.5,,Product,Missing functionality,Medium,Chat,Tier 2,C. Lee,Pro,Escalated,,FALSE,FALSE
TK00030,2025/1/26,10.4,2025/1/26 6:18,Billing,Chargeback,Low,Phone,Tier 2,G. Lopez,Business,Resolved,3.8,FALSE,FALSE
TK00031,2025/1/26,1.3,2025/1/26 9:18,Technical,Login problem,Urgent,Email,Tier 1,Unassigned,Business,Resolved,5,FALSE,FALSE
TK00032,2025/1/27,15.3,2025/1/28 6:00,Account,Password reset,Medium,Email,Tier 1,B. Wilson,Pro,Resolved,4.4,TRUE,TRUE
TK00033,2025/1/28,6,2025/1/28 17:23,Technical,Bug report,Medium,Email,Tier 1,D. Evans,Enterprise,Resolved,4.3,FALSE,FALSE
TK00034,2025/1/28,6.8,2025/1/29 3:48,Billing,Invoice issue,Low,Phone,Billing,D. Evans,Enterprise,Resolved,3.6,FALSE,FALSE
TK00035,2025/1/29,19.2,2025/1/29 20:30,Shipping,Tracking issue,Low,Phone,Tier 1,H. Clark,Free,Resolved,4.9,FALSE,FALSE
TK00036,2025/1/30,3.3,2025/1/30 21:54,Technical,Integration issue,Medium,Portal,Tier 2,F. Moore,Pro,Resolved,3,FALSE,FALSE
TK00037,2025/2/1,3.6,2025/2/1 21:30,Billing,Invoice issue,High,Chat,Billing,C. Lee,Pro,Resolved,4.9,FALSE,FALSE
TK00038,2025/2/1,0.8,,Technical,API error,Urgent,Email,Tier 1,H. Clark,Pro,Pending Customer,,FALSE,FALSE
TK00039,2025/2/1,1.8,,Technical,Login problem,High,Email,Tier 2,N. Adams,Enterprise,Escalated,,FALSE,FALSE
TK00040,2025/2/2,13.6,,Product,How-to,Low,Phone,Customer Success,N. Adams,Business,Open,,FALSE,FALSE
TK00041,2025/2/2,8.8,2025/2/3 2:12,Shipping,Damaged item,Medium,Chat,Customer Success,B. Wilson,Pro,Resolved,3.9,FALSE,TRUE
TK00042,2025/2/2,13.4,2025/2/2 9:36,Shipping,Damaged item,Low,Chat,Tier 1,D. Evans,Business,Resolved,4.8,FALSE,FALSE
TK00043,2025/2/3,11.4,,Product,Missing functionality,Low,Portal,Customer Success,B. Wilson,Pro,Open,,FALSE,FALSE
TK00044,2025/2/6,10.3,2025/2/6 21:12,Product,How-to,Low,Chat,Tier 1,D. Evans,Free,Resolved,3.9,FALSE,FALSE
TK00045,2025/2/6,2.9,,Product,Missing functionality,Medium,Phone,Tier 1,C. Lee,Enterprise,Escalated,,FALSE,FALSE
TK00046,2025/2/7,2.4,,Technical,Login problem,High,Email,Tier 1,N. Adams,Pro,Escalated,,FALSE,FALSE
TK00047,2025/2/7,1.4,,Technical,Integration issue,Urgent,Phone,Tier 2,I. Ahmed,Pro,Open,,FALSE,FALSE
TK00048,2025/2/9,21.8,,Account,Permission issue,Low,Chat,Customer Success,G. Lopez,Enterprise,Escalated,,FALSE,FALSE
TK00049,2025/2/9,7.2,2025/2/10 8:00,Technical,Bug report,Medium,Portal,Tier 1,D. Evans,Pro,Resolved,4.6,FALSE,FALSE
TK00050,2025/2/10,1.5,2025/2/11 1:06,Technical,Integration issue,High,Phone,Tier 1,I. Ahmed,Free,Resolved,4.6,FALSE,FALSE
TK00051,2025/2/13,3.8,2025/2/13 20:42,Product,How-to,High,Email,Tier 1,F. Moore,Pro,Resolved,4.1,FALSE,FALSE
TK00052,2025/2/13,9.9,2025/2/13 15:24,Billing,Invoice issue,Low,Email,Tier 1,H. Clark,Free,Resolved,5,FALSE,FALSE
TK00053,2025/2/14,8.4,2025/2/14 11:36,Shipping,Address correction,Low,Phone,Billing,I. Ahmed,Business,Resolved,4.4,FALSE,FALSE
TK00054,2025/2/15,8.2,2025/2/16 0:48,Billing,Refund request,Medium,Phone,Billing,B. Wilson,Business,Resolved,3.6,FALSE,TRUE
TK00055,2025/2/15,10.1,2025/2/16 5:30,Billing,Invoice issue,Medium,Email,Billing,B. Wilson,Free,Resolved,2.9,FALSE,TRUE
TK00056,2025/2/15,5,2025/2/15 18:30,Technical,API error,High,Chat,Technical Escalations,C. Lee,Business,Resolved,4.7,FALSE,TRUE
TK00057,2025/2/16,2.3,,Technical,Integration issue,High,Chat,Tier 1,H. Clark,Pro,Pending Customer,,FALSE,FALSE
TK00058,2025/2/17,10.3,2025/2/18 15:18,Billing,Chargeback,Low,Email,Tier 2,C. Lee,Pro,Resolved,4.6,FALSE,FALSE
TK00059,2025/2/18,14.6,2025/2/18 9:18,Product,Feature question,Low,Email,Tier 2,H. Clark,Business,Resolved,4.6,FALSE,FALSE
TK00060,2025/2/19,5.1,,Account,Permission issue,High,Chat,Tier 1,H. Clark,Pro,Escalated,,FALSE,TRUE
TK00061,2025/2/19,2.7,2025/2/19 14:18,Technical,Integration issue,High,Chat,Technical Escalations,F. Moore,Pro,Resolved,4.6,FALSE,FALSE
TK00062,2025/2/22,5.5,2025/2/22 23:18,Technical,Bug report,Medium,Portal,Technical Escalations,B. Wilson,Pro,Resolved,4.8,TRUE,FALSE
TK00063,2025/2/23,3.5,2025/2/24 1:36,Product,How-to,Medium,Portal,Customer Success,D. Evans,Free,Resolved,5,FALSE,FALSE
TK00064,2025/2/24,1,2025/2/24 9:24,Billing,Chargeback,Urgent,Email,Tier 2,D. Evans,Pro,Resolved,4.5,FALSE,FALSE
TK00065,2025/2/24,2.3,2025/2/24 7:12,Technical,Integration issue,Urgent,Chat,Tier 2,I. Ahmed,Enterprise,Resolved,5,FALSE,TRUE
TK00066,2025/2/25,25.7,2025/2/26 0:36,Account,Access request,Low,Phone,Customer Success,C. Lee,Pro,Resolved,4,FALSE,TRUE
TK00067,2025/2/25,5.8,2025/2/25 22:00,Shipping,Late delivery,Medium,Chat,Tier 1,D. Evans,Enterprise,Resolved,4.6,FALSE,FALSE
TK00068,2025/2/26,21.2,2025/2/27 3:18,Product,Feature question,Low,Chat,Tier 2,N. Adams,Enterprise,Resolved,2.6,FALSE,FALSE
TK00069,2025/2/28,14.9,2025/3/1 7:36,Account,Password reset,Low,Chat,Tier 1,C. Lee,Free,Resolved,3.7,FALSE,FALSE
TK00070,2025/2/28,4.4,2025/2/28 13:12,Account,Permission issue,Medium,Email,Tier 1,C. Lee,Free,Resolved,3,FALSE,FALSE
TK00071,2025/2/28,7.2,2025/3/1 9:00,Product,How-to,Medium,Phone,Tier 2,F. Moore,Free,Resolved,4.3,FALSE,FALSE
TK00072,2025/3/1,28.4,2025/3/1 19:30,Product,Feature question,Low,Email,Customer Success,F. Moore,Pro,Resolved,,TRUE,TRUE
TK00073,2025/3/2,5.9,,Product,How-to,Medium,Email,Customer Success,I. Ahmed,Pro,Escalated,,FALSE,FALSE
TK00074,2025/3/2,28.8,2025/3/2 15:06,Product,Feature question,Low,Chat,Tier 2,G. Lopez,Business,Resolved,4.5,FALSE,TRUE
TK00075,2025/3/3,1,,Product,UX feedback,High,Portal,Tier 2,N. Adams,Free,Escalated,,FALSE,FALSE
TK00076,2025/3/4,19.1,,Technical,Login problem,Low,Chat,Tier 2,F. Moore,Free,Pending Customer,,FALSE,FALSE
TK00077,2025/3/4,12.8,2025/3/4 23:00,Shipping,Late delivery,Low,Portal,Tier 1,I. Ahmed,Pro,Resolved,4.9,FALSE,FALSE
TK00078,2025/3/5,5.2,2025/3/5 18:54,Account,Profile update,Medium,Chat,Tier 1,C. Lee,Business,Resolved,5,FALSE,FALSE
TK00079,2025/3/11,12.8,,Product,Feature question,Low,Email,Customer Success,B. Wilson,Free,Open,,FALSE,FALSE
TK00080,2025/3/13,2.2,2025/3/14 2:24,Billing,Payment failure,Medium,Portal,Billing,N. Adams,Enterprise,Resolved,4.4,FALSE,FALSE
TK00081,2025/3/15,10.8,2025/3/15 23:30,Technical,Login problem,Low,Phone,Tier 2,F. Moore,Business,Resolved,5,FALSE,FALSE
TK00082,2025/3/16,3.9,,Technical,Login problem,High,Portal,Technical Escalations,I. Ahmed,Business,Open,,FALSE,FALSE
TK00083,2025/3/17,27.5,2025/3/18 4:42,Shipping,Late delivery,Low,Chat,Customer Success,B. Wilson,Pro,Resolved,5,FALSE,TRUE
TK00084,2025/3/17,4.7,2025/3/17 23:36,Technical,Integration issue,Medium,Chat,Technical Escalations,H. Clark,Pro,Resolved,4.7,FALSE,FALSE
TK00085,2025/3/17,7.8,2025/3/17 10:30,Technical,Integration issue,Low,Portal,Tier 1,N. Adams,Pro,Resolved,4.9,FALSE,FALSE
TK00086,2025/3/18,4.7,2025/3/18 13:06,Account,Profile update,Medium,Chat,Tier 1,C. Lee,Free,Resolved,4.7,FALSE,FALSE
TK00087,2025/3/18,5,,Account,Access request,High,Portal,Tier 1,D. Evans,Business,Open,,FALSE,TRUE
TK00088,2025/3/19,1.9,2025/3/19 13:36,Product,Feature question,Urgent,Email,Tier 1,C. Lee,Business,Resolved,5,FALSE,FALSE
TK00089,2025/3/19,9.1,2025/3/20 10:24,Product,Feature question,Low,Chat,Customer Success,C. Lee,Business,Resolved,2,TRUE,FALSE
TK00090,2025/3/19,7.8,,Account,Access request,Medium,Chat,Customer Success,N. Adams,Free,Open,,FALSE,FALSE
TK00091,2025/3/19,6.4,,Shipping,Address correction,Medium,Email,Tier 1,D. Evans,Pro,Pending Customer,,FALSE,FALSE
TK00092,2025/3/19,9.8,,Billing,Refund request,Medium,Email,Billing,N. Adams,Free,Open,,FALSE,TRUE
TK00093,2025/3/20,4.3,2025/3/20 14:24,Technical,Bug report,Medium,Portal,Tier 1,C. Lee,Pro,Resolved,4.7,FALSE,FALSE
TK00094,2025/3/21,5.1,2025/3/21 16:53,Shipping,Address correction,Medium,Email,Customer Success,G. Lopez,Business,Resolved,5,FALSE,FALSE
TK00095,2025/3/22,1.4,,Billing,Chargeback,Urgent,Portal,Tier 1,F. Moore,Pro,Escalated,,FALSE,FALSE
TK00096,2025/3/25,2.9,2025/3/25 18:06,Billing,Refund request,Medium,Email,Billing,F. Moore,Pro,Resolved,1.5,FALSE,FALSE
TK00097,2025/3/25,7,2025/3/25 19:06,Billing,Refund request,Medium,Chat,Billing,D. Evans,Pro,Resolved,3.2,FALSE,FALSE
TK00098,2025/3/26,14.1,,Shipping,Tracking issue,Low,Chat,Customer Success,C. Lee,Pro,Escalated,,FALSE,FALSE
TK00099,2025/3/27,6.1,2025/3/28 1:36,Shipping,Tracking issue,Medium,Portal,Tier 1,B. Wilson,Free,Resolved,5,FALSE,FALSE
TK00100,2025/3/27,5.4,2025/3/28 20:30,Shipping,Damaged item,Medium,Portal,Customer Success,N. Adams,Free,Resolved,4.2,FALSE,FALSE
TK00101,2025/3/28,1.8,2025/3/29 10:36,Billing,Chargeback,High,Phone,Tier 1,C. Lee,Business,Resolved,1,FALSE,FALSE
TK00102,2025/3/28,2.7,,Shipping,Damaged item,High,Email,Tier 1,H. Clark,Pro,Pending Customer,,FALSE,FALSE
TK00103,2025/3/28,5.1,2025/3/29 0:06,Account,Permission issue,Medium,Portal,Tier 1,H. Clark,Pro,Resolved,4,FALSE,FALSE
TK00104,2025/3/28,4.1,2025/3/28 15:54,Billing,Refund request,Medium,Email,Tier 2,C. Lee,Enterprise,Resolved,4.5,FALSE,FALSE
TK00105,2025/3/29,5.6,,Technical,API error,Medium,Phone,Tier 1,I. Ahmed,Pro,Open,,FALSE,FALSE
TK00106,2025/3/30,7.4,2025/3/31 2:30,Technical,Integration issue,Medium,Chat,Tier 1,G. Lopez,Pro,Resolved,4.9,FALSE,FALSE
TK00107,2025/3/30,7.8,2025/3/30 9:30,Billing,Invoice issue,High,Email,Tier 1,H. Clark,Enterprise,Resolved,4.5,FALSE,TRUE
TK00108,2025/4/4,3.6,,Account,Permission issue,High,Phone,Customer Success,B. Wilson,Pro,Pending Customer,,FALSE,FALSE
TK00109,2025/4/5,6.9,,Account,Access request,Medium,Portal,Customer Success,H. Clark,Pro,Pending Customer,,FALSE,FALSE
TK00110,2025/4/5,5.8,,Shipping,Damaged item,Medium,Email,Customer Success,D. Evans,Free,Pending Customer,,FALSE,FALSE
TK00111,2025/4/5,1.4,,Product,Feature question,High,Chat,Customer Success,C. Lee,Business,Escalated,,FALSE,FALSE
TK00112,2025/4/5,6,2025/4/5 21:18,Product,Missing functionality,Medium,Portal,Customer Success,F. Moore,Pro,Resolved,4.2,FALSE,FALSE
TK00113,2025/4/5,12.6,,Product,How-to,Low,Portal,Tier 1,F. Moore,Pro,Escalated,,FALSE,FALSE
TK00114,2025/4/7,47.2,,Shipping,Damaged item,Low,Portal,Tier 1,G. Lopez,Pro,Pending Customer,,FALSE,TRUE
TK00115,2025/4/10,11,,Billing,Payment failure,Low,Phone,Billing,D. Evans,Business,Pending Customer,,FALSE,FALSE
TK00116,2025/4/10,14.4,2025/4/11 13:54,Product,Missing functionality,Low,Phone,Tier 2,C. Lee,Free,Resolved,4.8,FALSE,FALSE
TK00117,2025/4/10,5.9,2025/4/10 10:18,Billing,Invoice issue,Medium,Email,Billing,I. Ahmed,Business,Resolved,4.6,FALSE,FALSE
TK00118,2025/4/13,6.4,2025/4/14 1:06,Technical,Integration issue,Low,Email,Tier 2,I. Ahmed,Free,Resolved,4.7,FALSE,FALSE
TK00119,2025/4/13,5.6,2025/4/13 12:30,Account,Permission issue,High,Chat,Tier 1,I. Ahmed,Enterprise,Resolved,4.6,FALSE,TRUE
TK00120,2025/4/14,8.8,,Technical,API error,Medium,Chat,Tier 2,B. Wilson,Pro,Pending Customer,,FALSE,TRUE
TK00121,2025/4/14,9,,Billing,Invoice issue,Medium,Chat,Billing,H. Clark,Enterprise,Escalated,,FALSE,TRUE
TK00122,2025/4/14,2.2,2025/4/15 14:12,Account,Password reset,High,Email,Tier 1,F. Moore,Business,Resolved,4.7,FALSE,FALSE
TK00123,2025/4/14,12.2,2025/4/14 22:12,Shipping,Damaged item,Medium,Email,Tier 1,F. Moore,Pro,Resolved,5,FALSE,TRUE
TK00124,2025/4/14,3,,Product,UX feedback,Medium,Phone,Tier 1,H. Clark,Free,Pending Customer,,FALSE,FALSE
TK00125,2025/4/15,16.8,,Product,UX feedback,Low,Email,Tier 1,N. Adams,Pro,Pending Customer,,FALSE,FALSE
TK00126,2025/4/16,18.1,2025/4/17 4:30,Account,Profile update,Medium,Chat,Tier 2,N. Adams,Enterprise,Resolved,3.5,FALSE,TRUE
TK00127,2025/4/18,7.1,,Technical,Bug report,Low,Email,Tier 1,N. Adams,Business,Escalated,,FALSE,FALSE
TK00128,2025/4/19,8.9,2025/4/20 3:54,Billing,Payment failure,Low,Portal,Billing,G. Lopez,Enterprise,Resolved,4.7,FALSE,FALSE
TK00129,2025/4/19,12.9,,Product,Missing functionality,Low,Email,Customer Success,G. Lopez,Pro,Pending Customer,,FALSE,FALSE
TK00130,2025/4/21,2.6,,Billing,Invoice issue,High,Phone,Tier 1,B. Wilson,Pro,Pending Customer,,FALSE,FALSE
TK00131,2025/4/22,2.8,2025/4/24 6:30,Billing,Chargeback,Medium,Chat,Billing,G. Lopez,Free,Resolved,4.5,FALSE,FALSE
TK00132,2025/4/23,6.3,2025/4/24 9:12,Product,Feature question,Medium,Phone,Tier 2,I. Ahmed,Pro,Resolved,4.5,FALSE,FALSE
TK00133,2025/4/24,6.8,2025/4/25 16:36,Technical,Bug report,Low,Phone,Tier 1,H. Clark,Enterprise,Resolved,4.6,FALSE,FALSE
TK00134,2025/4/25,4.1,,Technical,Login problem,High,Phone,Technical Escalations,D. Evans,Business,Pending Customer,,FALSE,TRUE
TK00135,2025/4/26,3.8,,Billing,Payment failure,Medium,Chat,Billing,F. Moore,Free,Open,,FALSE,FALSE
TK00136,2025/4/26,6.7,2025/4/26 16:18,Technical,Bug report,High,Chat,Technical Escalations,N. Adams,Pro,Resolved,4.3,FALSE,TRUE
TK00137,2025/4/27,4.1,,Technical,Bug report,Medium,Chat,Tier 2,D. Evans,Business,Open,,FALSE,FALSE
TK00138,2025/4/28,2.9,2025/4/29 12:06,Product,Missing functionality,High,Phone,Tier 2,N. Adams,Business,Resolved,4.3,FALSE,FALSE
TK00139,2025/4/29,4.8,2025/4/29 7:00,Shipping,Damaged item,High,Chat,Tier 1,C. Lee,Pro,Resolved,1.2,TRUE,TRUE
TK00140,2025/4/30,3.3,2025/5/1 0:00,Billing,Invoice issue,Medium,Email,Billing,H. Clark,Business,Resolved,4.9,FALSE,FALSE
TK00141,2025/5/1,6.8,,Product,Missing functionality,Medium,Phone,Tier 2,B. Wilson,Enterprise,Escalated,,FALSE,FALSE
TK00142,2025/5/3,2.8,2025/5/4 0:36,Billing,Payment failure,Urgent,Email,Billing,C. Lee,Pro,Resolved,3.9,FALSE,TRUE
TK00143,2025/5/5,2.7,2025/5/6 5:12,Technical,Integration issue,Medium,Phone,Tier 2,B. Wilson,Business,Resolved,4.2,FALSE,FALSE
TK00144,2025/5/5,3.6,2025/5/5 16:30,Technical,Bug report,High,Phone,Tier 2,N. Adams,Pro,Resolved,3.9,FALSE,FALSE
TK00145,2025/5/6,14.1,2025/5/7 1:06,Billing,Refund request,Low,Email,Billing,G. Lopez,Free,Resolved,2.7,TRUE,FALSE
TK00146,2025/5/6,8.9,2025/5/7 16:12,Technical,API error,Medium,Portal,Tier 2,H. Clark,Pro,Resolved,4,FALSE,TRUE
TK00147,2025/5/7,3.3,2025/5/7 11:12,Product,Missing functionality,Medium,Portal,Tier 1,D. Evans,Free,Resolved,4.8,FALSE,FALSE
TK00148,2025/5/8,5.9,2025/5/9 4:24,Technical,Bug report,Low,Email,Technical Escalations,H. Clark,Pro,Resolved,4.7,FALSE,FALSE
TK00149,2025/5/8,16.2,2025/5/8 22:54,Technical,Bug report,Low,Email,Tier 1,C. Lee,Pro,Resolved,4.6,FALSE,FALSE
TK00150,2025/5/8,3.8,2025/5/8 21:54,Product,Missing functionality,High,Chat,Customer Success,C. Lee,Business,Resolved,4.6,FALSE,FALSE
TK00151,2025/5/8,14,2025/5/8 7:30,Billing,Refund request,Low,Chat,Tier 2,I. Ahmed,Pro,Resolved,4.7,FALSE,FALSE
TK00152,2025/5/10,7.2,2025/5/10 13:24,Account,Permission issue,Medium,Email,Customer Success,C. Lee,Business,Resolved,4.1,FALSE,FALSE
TK00153,2025/5/12,4.3,2025/5/12 11:30,Product,UX feedback,Medium,Phone,Customer Success,G. Lopez,Enterprise,Resolved,3.5,FALSE,FALSE
TK00154,2025/5/13,6.8,2025/5/13 15:42,Account,Profile update,Medium,Portal,Tier 2,H. Clark,Free,Resolved,3.9,FALSE,FALSE
TK00155,2025/5/13,14.3,,Account,Profile update,Low,Chat,Tier 1,I. Ahmed,Free,Escalated,,FALSE,FALSE
TK00156,2025/5/14,4.2,2025/5/14 16:48,Account,Access request,Medium,Email,Tier 1,C. Lee,Pro,Resolved,4.8,FALSE,FALSE
TK00157,2025/5/14,3.5,2025/5/14 10:24,Billing,Invoice issue,Urgent,Phone,Billing,F. Moore,Business,Resolved,5,FALSE,TRUE
TK00158,2025/5/14,15.8,2025/5/15 8:30,Technical,Integration issue,Low,Chat,Tier 1,F. Moore,Free,Resolved,5,FALSE,FALSE
TK00159,2025/5/14,6.3,,Billing,Invoice issue,Low,Chat,Billing,C. Lee,Pro,Pending Customer,,FALSE,FALSE
TK00160,2025/5/16,4.5,2025/5/17 22:42,Technical,API error,High,Email,Tier 1,B. Wilson,Free,Resolved,4.8,TRUE,TRUE
TK00161,2025/5/16,7.1,2025/5/16 20:36,Product,How-to,Low,Phone,Tier 2,C. Lee,Enterprise,Resolved,,FALSE,FALSE
TK00162,2025/5/20,4.7,2025/5/21 20:30,Technical,Login problem,High,Email,Technical Escalations,H. Clark,Free,Resolved,3.7,FALSE,TRUE
TK00163,2025/5/20,23,2025/5/20 19:12,Shipping,Address correction,Low,Email,Customer Success,I. Ahmed,Enterprise,Resolved,4.4,TRUE,FALSE
TK00164,2025/5/21,7.8,2025/5/22 16:06,Technical,Login problem,Low,Chat,Tier 2,C. Lee,Free,Resolved,4,FALSE,FALSE
TK00165,2025/5/21,20.7,2025/5/21 11:18,Technical,Login problem,Low,Chat,Tier 1,N. Adams,Free,Resolved,4.2,FALSE,FALSE
TK00166,2025/5/21,15.3,,Product,How-to,Low,Chat,Tier 2,B. Wilson,Pro,Pending Customer,,FALSE,FALSE
TK00167,2025/5/21,9.1,2025/5/22 9:54,Shipping,Tracking issue,Medium,Email,Customer Success,I. Ahmed,Business,Resolved,4.3,FALSE,TRUE
TK00168,2025/5/22,34.6,,Product,How-to,Low,Portal,Customer Success,D. Evans,Business,Pending Customer,,FALSE,TRUE
TK00169,2025/5/23,3,2025/5/23 23:36,Technical,Login problem,High,Portal,Technical Escalations,I. Ahmed,Enterprise,Resolved,4.8,FALSE,FALSE
TK00170,2025/5/25,4.2,2025/5/26 9:24,Account,Access request,Medium,Phone,Customer Success,B. Wilson,Pro,Resolved,4,FALSE,FALSE
TK00171,2025/5/26,3.9,,Shipping,Tracking issue,Medium,Email,Billing,H. Clark,Business,Escalated,,FALSE,FALSE
TK00172,2025/5/26,4,2025/5/27 10:30,Shipping,Late delivery,Medium,Portal,Customer Success,I. Ahmed,Free,Resolved,4.5,FALSE,FALSE
TK00173,2025/5/27,5.8,2025/5/28 11:12,Product,Feature question,Medium,Email,Tier 1,C. Lee,Free,Resolved,4.7,FALSE,FALSE
TK00174,2025/5/29,7.2,,Product,How-to,Medium,Email,Customer Success,C. Lee,Free,Escalated,,FALSE,FALSE
TK00175,2025/6/6,6.9,2025/6/6 15:36,Account,Access request,Medium,Email,Customer Success,D. Evans,Free,Resolved,4,FALSE,FALSE
TK00176,2025/6/7,19.2,2025/6/7 11:00,Technical,Bug report,Low,Chat,Technical Escalations,N. Adams,Business,Resolved,3,FALSE,FALSE
TK00177,2025/6/9,3.3,2025/6/10 8:17,Product,Missing functionality,High,Email,Customer Success,D. Evans,Pro,Resolved,4.3,FALSE,FALSE
TK00178,2025/6/10,6.4,2025/6/11 9:54,Product,How-to,High,Chat,Customer Success,H. Clark,Pro,Resolved,4.5,TRUE,TRUE
TK00179,2025/6/11,10.5,2025/6/12 6:42,Technical,Login problem,Low,Email,Tier 1,F. Moore,Pro,Resolved,4.7,TRUE,FALSE
TK00180,2025/6/11,23.6,2025/6/11 18:18,Product,UX feedback,Medium,Phone,Tier 2,H. Clark,Pro,Resolved,4.1,FALSE,TRUE
TK00181,2025/6/12,17.2,,Billing,Payment failure,Low,Portal,Tier 2,I. Ahmed,Pro,Open,,FALSE,FALSE
TK00182,2025/6/13,2.3,,Account,Password reset,High,Phone,Tier 1,Unassigned,Enterprise,Pending Customer,,FALSE,FALSE
TK00183,2025/6/14,3.5,,Technical,Login problem,Medium,Chat,Tier 2,H. Clark,Pro,Pending Customer,,FALSE,FALSE
TK00184,2025/6/15,4.1,,Technical,Integration issue,High,Portal,Technical Escalations,I. Ahmed,Pro,Escalated,,FALSE,TRUE
TK00185,2025/6/15,3,,Technical,API error,High,Email,Technical Escalations,B. Wilson,Pro,Open,,FALSE,FALSE
TK00186,2025/6/16,2.2,2025/6/16 8:24,Product,UX feedback,Urgent,Chat,Tier 2,Unassigned,Pro,Resolved,4.9,FALSE,TRUE
TK00187,2025/6/18,4.1,,Billing,Payment failure,High,Portal,Tier 1,I. Ahmed,Business,Open,,FALSE,TRUE
TK00188,2025/6/19,1.6,2025/6/19 21:30,Product,Feature question,Urgent,Email,Customer Success,F. Moore,Business,Resolved,4.8,FALSE,FALSE
